trt,site,yr,mo,day,plot,PD_1m2
trtpd,trtpd_2,2022,8,2,1,0
trtpd,trtpd_2,2022,8,2,2,2
trtpd,trtpd_2,2022,8,2,3,1
trtpd,trtpd_2,2022,8,2,4,34
trtpd,trtpd_2,2022,8,2,5,5
trtpd,trtpd_2,2022,8,2,6,2
trtpd,trtpd_2,2022,8,2,7,0
trtpd,trtpd_2,2022,8,2,8,23
trtpd,trtpd_3,2022,8,4,1,7
trtpd,trtpd_3,2022,8,4,2,0
trtpd,trtpd_3,2022,8,4,3,3
trtpd,trtpd_3,2022,8,4,4,1
trtpd,trtpd_3,2022,8,4,5,25
trtpd,trtpd_3,2022,8,4,6,3
trtpd,trtpd_3,2022,8,4,7,4
trtpd,trtpd_3,2022,8,4,8,20
ungrazed,ungrazed_1,2022,8,4,1,0
ungrazed,ungrazed_1,2022,8,4,2,0
ungrazed,ungrazed_1,2022,8,4,3,0
ungrazed,ungrazed_1,2022,8,4,4,0
ungrazed,ungrazed_1,2022,8,4,5,0
ungrazed,ungrazed_1,2022,8,4,6,0
ungrazed,ungrazed_1,2022,8,4,7,0
ungrazed,ungrazed_1,2022,8,4,8,0
ungrazed,ungrazed_2,2022,8,8,1,0
ungrazed,ungrazed_2,2022,8,8,2,0
ungrazed,ungrazed_2,2022,8,8,3,0
ungrazed,ungrazed_2,2022,8,8,4,0
ungrazed,ungrazed_2,2022,8,8,5,0
ungrazed,ungrazed_2,2022,8,8,6,0
ungrazed,ungrazed_2,2022,8,8,7,0
ungrazed,ungrazed_2,2022,8,8,8,0
ungrazed,ungrazed_3,2022,8,10,1,0
ungrazed,ungrazed_3,2022,8,10,2,0
ungrazed,ungrazed_3,2022,8,10,3,0
ungrazed,ungrazed_3,2022,8,10,4,0
ungrazed,ungrazed_3,2022,8,10,5,0
ungrazed,ungrazed_3,2022,8,10,6,0
ungrazed,ungrazed_3,2022,8,10,7,0
ungrazed,ungrazed_3,2022,8,10,8,0
untrtpd,untrtpd_1,2022,8,2,1,183
untrtpd,untrtpd_1,2022,8,2,2,102
untrtpd,untrtpd_1,2022,8,2,3,82
untrtpd,untrtpd_1,2022,8,2,4,205
untrtpd,untrtpd_1,2022,8,2,5,259
untrtpd,untrtpd_1,2022,8,2,6,182
untrtpd,untrtpd_1,2022,8,2,7,132
untrtpd,untrtpd_1,2022,8,2,8,52
untrtpd,untrtpd_2,2022,8,5,1,3
untrtpd,untrtpd_2,2022,8,5,2,4
untrtpd,untrtpd_2,2022,8,5,3,4
untrtpd,untrtpd_2,2022,8,5,4,19
untrtpd,untrtpd_2,2022,8,5,5,3
untrtpd,untrtpd_2,2022,8,5,6,16
untrtpd,untrtpd_2,2022,8,5,7,37
untrtpd,untrtpd_2,2022,8,5,8,5
untrtpd,untrtpd_3,2022,8,5,1,7
untrtpd,untrtpd_3,2022,8,5,2,4
untrtpd,untrtpd_3,2022,8,5,3,8
untrtpd,untrtpd_3,2022,8,5,4,4
untrtpd,untrtpd_3,2022,8,5,5,10
untrtpd,untrtpd_3,2022,8,5,6,26
untrtpd,untrtpd_3,2022,8,5,7,18
untrtpd,untrtpd_3,2022,8,5,8,9
bison,bison_1,2022,9,4,1,0
bison,bison_1,2022,9,4,2,0
bison,bison_1,2022,9,4,3,0
bison,bison_1,2022,9,4,4,0
bison,bison_1,2022,9,4,5,0
bison,bison_1,2022,9,4,6,0
bison,bison_1,2022,9,4,7,0
bison,bison_1,2022,9,4,8,0
bison,bison_2,2022,9,2,1,0
bison,bison_2,2022,9,2,2,0
bison,bison_2,2022,9,2,3,0
bison,bison_2,2022,9,2,4,0
bison,bison_2,2022,9,2,5,0
bison,bison_2,2022,9,2,6,0
bison,bison_2,2022,9,2,7,0
bison,bison_2,2022,9,2,8,0
bison,bison_3,2022,9,1,1,0
bison,bison_3,2022,9,1,2,0
bison,bison_3,2022,9,1,3,0
bison,bison_3,2022,9,1,4,0
bison,bison_3,2022,9,1,5,0
bison,bison_3,2022,9,1,6,0
bison,bison_3,2022,9,1,7,0
bison,bison_3,2022,9,1,8,0
cattle,cattle_1,2022,9,3,1,0
cattle,cattle_1,2022,9,3,2,0
cattle,cattle_1,2022,9,3,3,0
cattle,cattle_1,2022,9,3,4,0
cattle,cattle_1,2022,9,3,5,0
cattle,cattle_1,2022,9,3,6,0
cattle,cattle_1,2022,9,3,7,0
cattle,cattle_1,2022,9,3,8,0
cattle,cattle_2,2022,9,2,1,0
cattle,cattle_2,2022,9,2,2,0
cattle,cattle_2,2022,9,2,3,0
cattle,cattle_2,2022,9,2,4,0
cattle,cattle_2,2022,9,2,5,0
cattle,cattle_2,2022,9,2,6,0
cattle,cattle_2,2022,9,2,7,0
cattle,cattle_2,2022,9,2,8,0
cattle,cattle_3,2022,9,1,1,0
cattle,cattle_3,2022,9,1,2,0
cattle,cattle_3,2022,9,1,3,0
cattle,cattle_3,2022,9,1,4,0
cattle,cattle_3,2022,9,1,5,0
cattle,cattle_3,2022,9,1,6,0
cattle,cattle_3,2022,9,1,7,0
cattle,cattle_3,2022,9,1,8,0
trtpd,trtpd_1,2022,9,3,1,3
trtpd,trtpd_1,2022,9,3,2,0
trtpd,trtpd_1,2022,9,3,3,0
trtpd,trtpd_1,2022,9,3,4,11
trtpd,trtpd_1,2022,9,3,5,5
trtpd,trtpd_1,2022,9,3,6,2
trtpd,trtpd_1,2022,9,3,7,13
trtpd,trtpd_1,2022,9,3,8,14
trtpd,trtpd_2,2022,9,3,1,3
trtpd,trtpd_2,2022,9,3,2,0
trtpd,trtpd_2,2022,9,3,3,4
trtpd,trtpd_2,2022,9,3,4,5
trtpd,trtpd_2,2022,9,3,5,2
trtpd,trtpd_2,2022,9,3,6,19
trtpd,trtpd_2,2022,9,3,7,8
trtpd,trtpd_2,2022,9,3,8,12
trtpd,trtpd_3,2022,9,4,1,6
trtpd,trtpd_3,2022,9,4,2,4
trtpd,trtpd_3,2022,9,4,3,4
trtpd,trtpd_3,2022,9,4,4,4
trtpd,trtpd_3,2022,9,4,5,4
trtpd,trtpd_3,2022,9,4,6,2
trtpd,trtpd_3,2022,9,4,7,4
trtpd,trtpd_3,2022,9,4,8,10
ungrazed,ungrazed_1,2022,9,4,1,0
ungrazed,ungrazed_1,2022,9,4,2,0
ungrazed,ungrazed_1,2022,9,4,3,0
ungrazed,ungrazed_1,2022,9,4,4,0
ungrazed,ungrazed_1,2022,9,4,5,0
ungrazed,ungrazed_1,2022,9,4,6,0
ungrazed,ungrazed_1,2022,9,4,7,0
ungrazed,ungrazed_1,2022,9,4,8,0
ungrazed,ungrazed_2,2022,9,3,1,0
ungrazed,ungrazed_2,2022,9,3,2,0
ungrazed,ungrazed_2,2022,9,3,3,0
ungrazed,ungrazed_2,2022,9,3,4,0
ungrazed,ungrazed_2,2022,9,3,5,0
ungrazed,ungrazed_2,2022,9,3,6,0
ungrazed,ungrazed_2,2022,9,3,7,0
ungrazed,ungrazed_2,2022,9,3,8,0
ungrazed,ungrazed_3,2022,9,2,1,0
ungrazed,ungrazed_3,2022,9,2,2,0
ungrazed,ungrazed_3,2022,9,2,3,0
ungrazed,ungrazed_3,2022,9,2,4,0
ungrazed,ungrazed_3,2022,9,2,5,0
ungrazed,ungrazed_3,2022,9,2,6,0
ungrazed,ungrazed_3,2022,9,2,7,0
ungrazed,ungrazed_3,2022,9,2,8,0
untrtpd,untrtpd_1,2022,9,2,1,131
untrtpd,untrtpd_1,2022,9,2,2,101
untrtpd,untrtpd_1,2022,9,2,3,53
untrtpd,untrtpd_1,2022,9,2,4,261
untrtpd,untrtpd_1,2022,9,2,5,193
untrtpd,untrtpd_1,2022,9,2,6,166
untrtpd,untrtpd_1,2022,9,2,7,174
untrtpd,untrtpd_1,2022,9,2,8,45
untrtpd,untrtpd_2,2022,9,1,1,6
untrtpd,untrtpd_2,2022,9,1,2,9
untrtpd,untrtpd_2,2022,9,1,3,6
untrtpd,untrtpd_2,2022,9,1,4,55
untrtpd,untrtpd_2,2022,9,1,5,7
untrtpd,untrtpd_2,2022,9,1,6,18
untrtpd,untrtpd_2,2022,9,1,7,33
untrtpd,untrtpd_2,2022,9,1,8,2
untrtpd,untrtpd_3,2022,9,1,1,5
untrtpd,untrtpd_3,2022,9,1,2,2
untrtpd,untrtpd_3,2022,9,1,3,2
untrtpd,untrtpd_3,2022,9,1,4,2
untrtpd,untrtpd_3,2022,9,1,5,2
untrtpd,untrtpd_3,2022,9,1,6,9
untrtpd,untrtpd_3,2022,9,1,7,8
untrtpd,untrtpd_3,2022,9,1,8,2
