Number,trt,site,yr,month,mo,day,type,percC,percN,Al_ppm,B_ppm,Ca_ppm,Cu_ppm,Fe_ppm,K_ppm,Li_ppm,Mg_ppm,Mn_ppm,Ni_ppm,P_ppm,Pb_ppm,S_ppm,Si_ppm,Sr_ppm,Ti_ppm,V_ppm,Zn_ppm
11,ungrazed,ungrazed_2,2022,June,6,16,grass,39.31,1.17,83.25,4.375,2318.6875,3.5625,131,11872.6875,2.5,915.9375,32.25,0.5625,1158.8125,0,2162.75,102.75,24.9375,1.5625,0,14.3125
12,ungrazed,ungrazed_2,2022,June,6,16,forb,41.22,1.96,130.625,27.1875,9125.3125,6,161.125,18420.25,8.1875,3494.25,31.125,1.125,1812.875,0,7502.25,42.5625,93.0625,1.1875,0,28.25
13,ungrazed,ungrazed_1,2022,June,6,9,grass,43.19,1.49,52.75,7.75,3669.625,3.3125,70.25,15665.125,2.25,530.3125,26.25,0.1875,1812.125,0,1573.5,48,23.5,0.375,0,16.1875
14,ungrazed,ungrazed_1,2022,June,6,9,forb,41.44,2.08,468.3125,23.875,14442.0625,7.5625,573.6875,26956.4375,5.125,2356.5,33,1.4375,2204.25,1.1875,3106.375,65.25,80.5,3.5,1,23.5625
15,trtpd,trtpd_3,2022,June,6,16,forb,40.99,4.7,584.0625,15.625,15824.8125,7.75,1139.8125,36897.5625,9.625,4451.1875,45.25,2.125,3352,1.5625,4368.9375,26.375,107.25,6.1875,1.5625,27
16,trtpd,trtpd_2,2022,June,6,9,woody,36.92,1,983.5625,13.4375,4115.5625,9.5,1877.0625,7177.1875,4,1379.875,75.5,3.625,849.8125,2.75,885.5625,31.125,15.5625,8.5625,3.5,21.0625
17,trtpd,trtpd_2,2022,June,6,9,grass,37.91,2,127.875,6.1875,419.0625,1.875,167.875,14604,2.625,960.125,8.8125,0,1140.375,0,1807.1875,0,5.5625,1.5625,0,5.1875
18,trtpd,trtpd_2,2022,June,6,9,forb,42.51,2.21,426.625,15.6875,4861.8125,10.125,1577.75,15381.8125,2.375,1772.875,70.625,3.25,1443.375,1.5,1671.8125,42.8125,18.75,7.625,1.0625,21.9375
19,trtpd,trtpd_1,2022,June,6,16,woody,43.16,2.33,643.25,15.125,4779.625,9.125,1037.0625,14887.625,7.1875,1098.375,79.3125,2.25,1186.375,1.4375,2006.9375,38.8125,26.1875,5.75,2.1875,13.125
20,trtpd,trtpd_1,2022,June,6,16,forb,37.45,3.71,691.9375,15.5,8395.875,6.8125,1274.4375,50362.125,8.25,7400,91.8125,1.9375,2558.25,2.1875,2527.625,44.6875,64.4375,6.1875,2.3125,27.5625
21,cattle,cattle_3,2022,June,6,17,grass,44.97,1.65,123.5,11.125,2185.1875,3.4375,140.9375,10730,2,1061.5,34.375,0.5,1507.75,0.875,1215.625,69.5,14.9375,1.375,0,13.5625
22,cattle,cattle_2,2022,June,6,10,woody,46.92,1.16,132.9375,22.5625,4967.375,7.3125,179.5625,4825.5625,6.4375,1495.8125,20.8125,0.5625,784.9375,1,1465.5,85.5625,65.3125,2.625,0,29.25
23,cattle,cattle_3,2022,June,6,17,forb,46.99,1.48,394.1875,19.8125,4234.125,11.25,514.6875,10855.9375,2.4375,1606.75,68.3125,1.5,1376.1875,1.0625,1281.9375,30.0625,31,5.625,0.625,23.4375
24,cattle,cattle_2,2022,June,6,10,grass,44.72,1.39,35.3125,4.75,2017,3.0625,47.0625,11118.5625,2,726.4375,25,0.1875,1434.125,0,1206.25,70.375,11.3125,0.3125,0,14.4375
25,cattle,cattle_2,2022,June,6,10,forb,44.89,1.89,105.6875,32.9375,7799,6.9375,155.5625,18673.4375,5.125,2552.75,36,0.875,1873.9375,0,2090.4375,30.6875,66.875,1.5625,0,17.375
26,cattle,cattle_1,2022,June,6,16,woody,43.44,0.84,174.25,11.5,12424.6875,2.375,230.8125,6082,2.0625,1105.375,24.4375,1.1875,839.5625,0,716.5625,57.125,50.375,3.875,0,26.125
27,cattle,cattle_1,2022,June,6,16,grass,45.07,1.35,43.9375,5.9375,2217.6875,3.125,70.5625,11067.375,1.8125,864,18.375,0.6875,1164.3125,0,1329,70.375,8.625,0.625,0,10.4375
28,cattle,cattle_1,2022,June,6,16,forb,43.91,1.79,68.5625,26.0625,7340,4.5,105.25,10492.875,2.625,2095,17.0625,0.75,1027.125,0.6875,1456.625,30.875,42.3125,0.8125,0,11.625
29,bison,bison_3,2022,June,6,14,grass,44.71,1.23,52.9375,4.1875,2089.6875,3.125,67.625,7220.125,2.4375,623.4375,15.5,0.1875,993.5625,0.625,1076.1875,74.5,10.0625,0.625,0,12.4375
30,bison,bison_3,2022,June,6,14,forb,44.38,2.52,60.25,31.25,17747.875,4.625,85.3125,16307,6.6875,1955.3125,29.375,0.5625,1042,0,1795.0625,32.375,82.8125,0,0,14.6875
31,bison,bison_2,2022,June,6,14,grass,44.49,2.01,44.4375,5.5625,2289.375,2.6875,58.375,15881.25,1.875,861.9375,36.6875,0,1851.3125,0,1468.6875,79.9375,10.75,0.3125,0,21.9375
32,bison,bison_2,2022,June,6,14,forb,36.34,4.67,183.5625,17.75,7532.625,4.5,783.6875,59068.0625,3,3705.375,131.4375,0.1875,3159.9375,1.0625,1902.75,43.8125,46.4375,1.875,0.9375,42.25
33,bison,bison_1,2022,June,6,9,woody,41.19,1,539.1875,16.0625,6344.5625,8.8125,986.5625,12905.8125,5.5625,1322.8125,58.6875,1.875,1192.1875,1.8125,1271.5625,23.125,32.1875,6.5,1.75,18.9375
34,bison,bison_1,2022,June,6,9,grass,44.62,1.48,68.75,6.375,2126.625,3.125,109.3125,9204.0625,2.1875,696.8125,17.75,0.3125,1236.0625,0.8125,1094.625,89.5,11.0625,1.0625,0,13.625
35,bison,bison_1,2022,June,6,9,forb,43.02,2.21,241.6875,22.3125,14623.9375,7.1875,362.5625,21252.625,4.5,3537.3125,59,1.25,1534.8125,0.8125,2270.3125,50.875,72.3125,3.25,0,22.0625
36,trtpd,trtpd_3,2022,July,7,7,forb,40.05,3.27,1082.75,18.75,13000.3125,7.8125,2323.5625,19265.5625,7.1875,3575.6875,62.6875,3.6875,2558.9375,2.8125,4368.5,45,90,9.125,3.75,27.25
37,trtpd,trtpd_2,2022,July,7,4,woody,44.12,1.55,589.5625,18.4375,3514.0625,12.875,958.6875,13583.25,4,1810.25,65.8125,2.1875,1619.125,1.625,1074.875,32.75,26.9375,8.5,1.75,23.75
38,trtpd,trtpd_2,2022,July,7,4,forb,43.28,2.11,606.9375,18.0625,4012,7.6875,1036.375,18789.5625,2.3125,1930.5,133.6875,3.5,1475.625,2.0625,1425.375,32.6875,18.75,8.8125,1.5,21.875
39,trtpd,trtpd_1,2022,July,7,6,forb,36.1,2.77,1907.5625,15.375,9703.4375,10,3440.75,35372.625,10.25,6200.4375,219.375,4.8125,2656.0625,4.125,2762.375,66.3125,75.3125,15.0625,7.4375,43.3125
40,untrtpd,untrtpd_3,2022,July,7,6,grass,38.75,1.34,78.125,8.25,2057.0625,2.75,110.875,7508.8125,1.75,585.1875,7.5,1.0625,693.125,0,852,119.875,10.6875,1.0625,0,9.4375
41,untrtpd,untrtpd_3,2022,July,7,6,forb,44.97,1.52,660.6875,24.25,5017.4375,12.5625,1374.625,12399.625,2.5625,2205.375,62.75,2.4375,1290.1875,2.1875,1628.625,34.5,31.3125,5.9375,2.5625,35.3125
42,untrtpd,untrtpd_2,2022,July,7,6,forb,44.12,1.59,621.0625,20.5625,3958.8125,10.4375,1246.5,9572.625,2.375,1705.625,53.5,2.0625,1115.875,1.9375,1270.8125,40.125,25.25,6.875,2.4375,29.75
43,untrtpd,untrtpd_2,2022,July,7,6,grass,44.12,1.58,676.125,22.3125,7036.8125,9.25,1171.1875,13945.5,3.375,1553.9375,46.625,2.25,1240.4375,1.9375,1505.4375,45.9375,29.0625,8.125,1.6875,27.5625
44,untrtpd,untrtpd_1,2022,July,7,8,forb,39.66,3.63,114.4375,5.25,2693.5,2.625,131.25,10046.0625,1.75,546.875,21.875,0.3125,779.375,0.75,969.4375,364.375,12.3125,1.375,0,10.625
45,untrtpd,untrtpd_1,2022,July,7,8,grass,45.23,2.45,66.3125,7.9375,2800.0625,2.5,100.0625,20083.8125,2,1032,35.75,0,1429.5625,0,1715.3125,103.9375,16.3125,0.875,0,13.5625
46,cattle,cattle_3,2022,July,7,5,forb,40.1,1.15,517.625,23.375,4586.9375,12.625,697,9284.1875,2.6875,1538.875,64.3125,1.4375,1385.3125,1.6875,1180.5,34.3125,30.75,5.9375,1.0625,32
47,cattle,cattle_3,2022,July,7,5,grass,43.89,1.25,275.2571429,16.05714286,2231.942857,3.314285714,289.9428571,6833.885714,2.171428571,961.3142857,34.17142857,0.628571429,1302.514286,0.8,863.6571429,85.08571429,15.94285714,3.542857143,0,13.54285714
48,cattle,cattle_2,2022,July,7,6,forb,44.2,1.67,73.91304348,26.49275362,4274.666667,4.231884058,104.9275362,11081.73913,7.014492754,2552.405797,33.62318841,0.927536232,868.5217391,0.637681159,1530.202899,48.69565217,43.36231884,1.507246377,0,10.14492754
49,cattle,cattle_2,2022,July,7,6,grass,44.43,0.93,68.86792453,11.06918239,2382.389937,2.327044025,68.74213836,8328.050314,1.949685535,945.2201258,23.27044025,0.251572327,1007.798742,0.817610063,1005.660377,91.19496855,16.28930818,0.566037736,0,15.1572327
50,cattle,cattle_1,2022,July,7,12,woody,40.82,0.97,458.2580645,12.70967742,14212.25806,2.967741935,587.1612903,4681.870968,3.677419355,1507.935484,37.5483871,1.612903226,841.5483871,1.483870968,755.6774194,63.5483871,49.74193548,5.870967742,0.516129032,29.67741935
51,cattle,cattle_1,2022,July,7,12,forb,40.42,1.1,90.48780488,20.85365854,5465.304878,7.195121951,112.0731707,28264.7561,3.048780488,1425.792683,30.85365854,0.975609756,2128.658537,0.975609756,1666.829268,243.2317073,17.86585366,1.097560976,0,20.48780488
52,cattle,cattle_1,2022,July,7,12,grass,44.69,1.13,73.37386018,6.565349544,2581.762918,2.796352584,71.12462006,5708.693009,1.641337386,783.5866261,15.37993921,1.094224924,1092.462006,0.729483283,789.8480243,119.1489362,11.67173252,0.607902736,0,7.720364742
53,bison,bison_3,2022,July,7,5,grass,44.61,0.85,119.9411765,5.117647059,2569.294118,2.764705882,86.82352941,5962.588235,3.352941176,862.8235294,25.41176471,0,968.5882353,0.764705882,1194.588235,111.2941176,13.64705882,1,0,15.58823529
54,bison,bison_2,2022,July,7,8,grass,44.65,1.79,38.32335329,6.407185629,2126.407186,1.976047904,63.59281437,12918.8024,1.796407186,763.1137725,36.10778443,0,1635.628743,0.958083832,1207.245509,98.68263473,10.35928144,0.419161677,0,16.64670659
55,bison,bison_1,2022,July,7,4,woody,41.43,0.75,81.88235294,7,1836.294118,5.058823529,96.41176471,4423.882353,2.294117647,596.5882353,13.82352941,0.235294118,290.5294118,0.764705882,393.5882353,37.70588235,14,1.235294118,0,5.058823529
56,bison,bison_1,2022,July,7,4,forb,44.65,1.65,384.8780488,25,5348.841463,11.2804878,735.5487805,11358.96341,2.926829268,1542.134146,42.92682927,1.646341463,1301.646341,1.463414634,1584.268293,43.65853659,32.13414634,5.182926829,0.975609756,22.80487805
57,bison,bison_1,2022,July,7,4,grass,45,1.01,190.8852459,12.52459016,2009.114754,7.016393443,149.7704918,9190.295082,2.754098361,851.4098361,23.08196721,0.327868852,1480.852459,1.704918033,1129.114754,743.2786885,12.91803279,1.442622951,0,19.08196721
58,ungrazed,ungrazed_3,2022,July,7,11,grass,45.08,1.01,62.2875817,5.68627451,1951.111111,2.091503268,122.5490196,6650.784314,1.960784314,580.3921569,30.65359477,0.849673203,968.3006536,0,1058.888889,859.5424837,9.477124183,1.111111111,0,7.581699346
59,ungrazed,ungrazed_2,2022,July,7,12,woody,49.35,0.63,157.8683386,6.144200627,3588.46395,7.272727273,278.0564263,2216.990596,2.257053292,565.7053292,16.61442006,0.501567398,478.1818182,0,638.9341693,121.630094,59.62382445,4.07523511,0,11.03448276
60,ungrazed,ungrazed_2,2022,July,7,12,forb,43.16,1.97,81.52866242,35.54140127,18519.29936,5.923566879,138.7261146,14626.75159,7.770700637,3122.356688,27.00636943,0.700636943,1014.649682,0,3733.184713,192.6751592,161.656051,0.955414013,0,15.98726115
61,ungrazed,ungrazed_2,2022,July,7,12,grass,43.9,1.04,50.23255814,5.913621262,2610.431894,2.724252492,64.11960133,8561.860465,2.657807309,638.4717608,13.82059801,0.465116279,1021.063123,1.129568106,1058.936877,906.0465116,33.15614618,0.465116279,0,14.01993355
62,ungrazed,ungrazed_1,2022,July,7,4,forb,38.15,2.12,121.0149254,32.41791045,14040.0597,5.611940299,139.761194,16362.26866,3.104477612,2016.537313,26.32835821,0.955223881,1407.820896,1.134328358,2724.238806,365.7910448,87.58208955,0,0,18.08955224
63,ungrazed,ungrazed_1,2022,July,7,4,grass,43.93,1.14,164.0522876,10.65359477,3212.48366,2.614379085,111.1764706,11440.3268,2.745098039,523.6601307,19.86928105,0.130718954,1346.405229,0,1313.137255,1095.882353,22.15686275,0.065359477,0,17.58169935
64,trtpd,trtpd_3,2022,August,8,4,forb,41.04,3.39,254.2492013,47.73162939,14165.87859,14.82428115,445.942492,49579.29712,9.45686901,7027.98722,74.69648562,1.469648562,2528.690096,1.533546326,4124.600639,200.1916933,94.88817891,3.706070288,0,29.52076677
65,trtpd,trtpd_2 ,2022,August,8,2,woody,47.05,1.39,386.3976945,59.65417867,4730.489914,15.44668588,822.5360231,10394.98559,5.07204611,1498.501441,94.4092219,3.515850144,1763.746398,2.017291066,1450.259366,247.5504323,17.63688761,7.838616715,1.037463977,46.34005764
66,trtpd,trtpd_2,2022,August,8,2,forb,41.94,1.79,719.112426,18.40236686,5015.680473,8.224852071,1545.739645,21835.14793,2.958579882,2123.550296,65.14792899,3.076923077,1517.988166,2.603550296,1383.136095,556.3313609,19.9408284,14.37869822,2.426035503,22.78106509
67,trtpd,trtpd_1,2022,August,8,9,forb,38.01,2.09,595.3216374,24.03508772,9332.982456,6.549707602,882.6900585,32957.25146,10.81871345,4094.912281,57.71929825,2.105263158,1511.812865,1.754385965,6348.830409,440.1169591,71.40350877,5.847953216,1.695906433,22.92397661
68,untrtpd,untrtpd_3,2022,August,8,5,forb,35.97,1.09,1857.287066,14.06940063,5599.495268,11.04100946,4734.006309,6672.744479,4.100946372,1685.425868,100.1892744,5.804416404,1015.962145,5.741324921,1059.621451,1394.44795,32.68138801,22.52365931,7.949526814,35.58359621
69,untrtpd,untrtpd_2,2022,August,8,5,grass,44.22,1.07,83.60128617,11.25401929,2774.405145,2.893890675,162.8938907,10900.64309,3.987138264,834.0836013,24.37299035,0.192926045,851.318328,1.350482315,1094.083601,1294.14791,13.31189711,1.028938907,0,17.23472669
70,untrtpd,untrtpd_2,2022,August,8,5,forb,46.59,1.38,539.5333333,28.06666667,5379.266667,8.466666667,866.6,12901.46667,5,1584.933333,43.06666667,2.2,1174.333333,1.933333333,1651.133333,408.4,29.2,8.466666667,1.133333333,23.66666667
71,untrtpd,untrtpd_1,2022,August,8,2,grass,46.21,1.72,53.33333333,9.487179487,1804.807692,2.307692308,59.23076923,10906.85897,2.628205128,901.2179487,38.97435897,0,1264.871795,1.153846154,1216.794872,860.1282051,12.05128205,0.256410256,0,28.01282051
72,cattle,cattle_3,2022,August,8,2,forb,48.01,1.38,435.4248366,31.04575163,4622.679739,11.24183007,668.3660131,8730.130719,2.418300654,1749.607843,70.13071895,1.633986928,1328.366013,1.764705882,1313.72549,401.3071895,38.5620915,6.797385621,0.91503268,27.32026144
73,cattle,cattle_3,2022,August,8,2,grass,43.48,0.98,138.4802432,10.5775076,1586.990881,2.674772036,165.2887538,8599.635258,2.006079027,830.0303951,37.14285714,0.364741641,1275.683891,2.431610942,783.0395137,1228.145897,15.19756839,1.094224924,0,19.57446809
74,cattle,cattle_2,2022,August,8,5,forb,41.57,1.17,130.2140673,49.66360856,9557.859327,7.339449541,206.911315,12691.07034,13.82262997,4310.152905,46.48318043,0.917431193,1025.382263,1.28440367,2758.899083,206.6055046,154.4954128,1.834862385,0,33.63914373
75,cattle,cattle_2,2022,August,8,5,grass,46.17,0.99,78.19314642,15.3894081,2193.333333,2.118380062,80.18691589,9311.401869,2.429906542,1063.987539,39.56386293,0.31152648,1013.021807,0,1353.457944,1029.906542,19.00311526,0.498442368,0,14.14330218
76,cattle,cattle_1,2022,August,8,8,forb,48.39,1.14,234.8895899,23.78548896,4290.851735,9.52681388,354.0694006,9128.895899,2.208201893,1385.425868,35.52050473,1.577287066,1134.763407,1.324921136,1256.15142,218.9905363,19.93690852,4.227129338,0,21.57728707
77,cattle,cattle_1,2022,August,8,8,grass,45.41,0.88,67.11538462,6.025641026,2486.346154,344.8717949,77.30769231,7251.217949,2.115384615,1033.653846,14.80769231,1.08974359,1030.833333,19.16666667,1163.205128,944.8717949,8.653846154,0.576923077,0,289.5512821
78,bison,bison_3,2022,August,8,5,grass,46.79,0.71,44.88372093,5.058139535,1691.569767,1.976744186,57.26744186,3985.930233,4.76744186,918.4302326,25.34883721,0.058139535,763.9534884,0.988372093,1093.430233,691.0465116,13.72093023,0.406976744,0,14.36046512
79,bison,bison_1,2022,August,8,9,forb,43.09,1.53,421.3249211,29.90536278,7097.223975,8.391167192,752.1766562,19740.31546,4.858044164,2501.072555,49.4637224,1.577287066,2028.580442,1.514195584,2362.712934,484.6687697,44.85804416,6.750788644,1.072555205,27.31861199
80,bison,bison_2,2022,August,8,2,grass,46.92,1.45,58.79518072,6.204819277,2102.048193,2.168674699,65.48192771,11174.09639,2.048192771,851.746988,54.51807229,0,1247.951807,0,1149.39759,816.2650602,9.879518072,0.542168675,0,24.57831325
81,bison,bison_1,2022,August,8,9,grass,47.64,1.04,73.62573099,7.426900585,1457.953216,3.391812865,133.9766082,7128.304094,3.040935673,704.619883,26.95906433,0.350877193,1118.654971,0.935672515,1189.473684,705.9064327,9.766081871,1.286549708,0,16.25730994
82,ungrazed,ungrazed_3,2022,August,8,10,woody,48.21,1.43,141.7191977,30.88825215,5210.028653,9.570200573,197.6504298,12272.09169,4.240687679,1511.690544,80.34383954,0.859598854,1395.358166,1.088825215,2589.799427,159.9426934,33.63896848,2.865329513,0,25.9025788
83,ungrazed,ungrazed_2,2022,August,8,8,forb,39.15,2.25,69.43521595,52.55813953,12263.3887,5.780730897,129.5016611,22957.74086,7.441860465,3514.817276,29.2358804,0.930232558,1216.013289,1.926910299,3991.229236,241.0631229,130.89701,0.664451827,0,24.91694352
84,ungrazed,ungrazed_2,2022,August,8,8,grass,46.32,0.69,113.354232,4.702194357,2791.53605,2.006269592,77.11598746,8395.548589,3.009404389,663.1347962,15.73667712,0.250783699,633.2288401,0,1329.905956,1021.504702,40.5015674,0.815047022,0,10.34482759
85,ungrazed,ungrazed_3,2022,August,8,10,grass,41.2,1.14,25.94594595,10.51051051,2651.111111,2.342342342,47.98798799,7981.801802,1.861861862,860,28.34834835,0.24024024,963.7837838,1.141141141,1549.60961,809.6696697,13.03303303,0.18018018,0,10.51051051
86,ungrazed,ungrazed_1,2022,August,8,4,forb,44.96,2.84,95.625,60.8125,12912.5,5.625,112.3125,18768.25,5.0625,2714.9375,27.875,1.375,1624.125,1.1875,3097.8125,129.9375,103.75,0.125,0,18.25
87,ungrazed,ungrazed_1,2022,August,8,4,grass,43.89,0.91,39.80830671,21.78913738,3214.249201,2.108626198,59.10543131,10937.2524,3.961661342,866.1341853,41.34185304,0,1192.651757,0,1486.517572,1277.699681,27.85942492,0.191693291,0,18.78594249
88,untrtpd,untrtpd_3,2022,September,9,1,forb,41.01,0.8,622.8152493,24.39882698,6144.281525,7.976539589,1101.231672,9611.495601,4.2228739,1571.43695,41.64222874,1.46627566,866.1583578,2.170087977,1391.202346,468.2111437,36.42228739,8.914956012,2.170087977,27.74193548
89,untrtpd,untrtpd_2,2022,September,9,1,woody,19.22,0.61,2377.507987,9.776357827,13001.66134,8.498402556,5087.98722,4865.43131,5.303514377,2198.210863,150.0958466,7.412140575,801.0223642,6.773162939,862.6198083,1877.571885,68.9456869,22.23642173,8.690095847,40.76677316
90,untrtpd,untrtpd_2,2022,September,9,1,forb,45.67,1.37,683.9365079,24.57142857,5242.222222,7.682539683,1284.380952,9662.285714,5.396825397,1569.84127,71.04761905,2.984126984,1017.142857,2.285714286,1352.825397,616.3174603,28.44444444,11.3015873,1.904761905,22.6031746
91,untrtpd,untrtpd_1,2022,September,9,2,forb,43.4,2.49,290.5,40.75,12103.4375,4.375,495.1875,24915.5625,4.5,4069.1875,38.875,1,1641.4375,1.5625,5730,282.75,82.625,5.75,0,16.8125
92,trtpd,trtpd_3,2022,September,9,4,woody,40.52,2.87,154.4252874,58.04597701,6139.597701,12.35632184,206.3793103,21025.74713,42.4137931,1684.597701,39.77011494,0.287356322,1362.068966,2.24137931,2797.816092,102.4712644,30.22988506,1.551724138,0,10.63218391
93,trtpd,trtpd_3,2022,September,9,4,forb,39.39,2.34,623.147541,36.32786885,14579.01639,11.01639344,1134.295082,20806.55738,7.737704918,5435.672131,43.27868852,2.557377049,2080.852459,9.049180328,3979.737705,659.3442623,123.4098361,11.80327869,1.704918033,78.62295082
94,trtpd,trtpd_2,2022,September,9,3,woody,44.05,1.09,1245.732087,11.83800623,4101.744548,10.59190031,2528.161994,4159.875389,3.676012461,1656.137072,100.9345794,4.797507788,1053.956386,3.925233645,903.3021807,1018.006231,20.37383178,19.12772586,5.23364486,27.47663551
95,trtpd,trtpd_2,2022,September,9,3,forb,44.72,1.5,626.6229508,40.19672131,4744.852459,9.180327869,1175.934426,10162.81967,3.016393443,1904.918033,77.83606557,2.360655738,1572.131148,3.737704918,1528,486.557377,28.26229508,10.42622951,2.163934426,41.37704918
96,trtpd,trtpd_1,2022,September,9,3,woody,42.77,3.17,312.2522523,56.87687688,4207.267267,9.84984985,254.0540541,35016.03604,16.63663664,1345.225225,37.17717718,0.36036036,989.009009,1.261261261,2516.576577,105.1651652,20.66066066,1.801801802,0,8.168168168
97,trtpd,trtpd_1,2022,September,9,3,forb,31.07,1.32,2015.365854,22.86585366,9486.219512,10.12195122,3607.317073,25010.67073,10.6097561,3642.865854,90.06097561,5.426829268,1424.268293,4.390243902,5949.817073,1445.54878,70.54878049,13.53658537,8.109756098,34.63414634
98,bison,bison_3,2022,September,9,1,grass,46.59,0.75,94.81268012,6.801152738,2227.204611,2.65129683,95.96541787,3803.631124,2.536023055,975.3314121,32.96829971,0.172910663,765.129683,3.285302594,1040.92219,798.2708934,15.56195965,0.979827089,0,44.49567723
99,bison,bison_2,2022,September,9,2,grass,45.72,0.9,36.10465116,3.895348837,1533.139535,2.034883721,48.37209302,5442.732558,2.093023256,748.0813953,34.36046512,0,1143.255814,0,1077.906977,736.6860465,9.941860465,0.348837209,0,21.3372093
100,bison,bison_1,2022,September,9,4,forb,45.2,1.21,209.456869,11.88498403,2290.734824,2.428115016,79.2971246,5354.121406,2.300319489,810.0319489,28.9456869,0.127795527,764.7284345,1.78913738,1132.907348,1058.146965,14.31309904,0.766773163,0,18.78594249
101,bison,bison_1,2022,September,9,4,grass,39.32,0.64,115.8769231,39.26153846,6584.553846,11.2,153.4153846,7913.353846,2.4,1303.569231,27.81538462,0.615384615,1088.8,1.538461538,1596.923077,117.1692308,34.27692308,1.661538462,0,20.61538462
102,cattle,cattle_3,2022,September,9,1,forb,45.47,1.15,817.4850299,31.25748503,4779.580838,11.07784431,1215.748503,7594.790419,3.173652695,1830.658683,81.79640719,2.155688623,1275.808383,2.574850299,1177.065868,790.9580838,38.38323353,11.07784431,2.395209581,38.32335329
103,cattle,cattle_1,2022,September,9,3,forb,47.84,1.02,95.92592593,18.51851852,2524.62963,2.345679012,83.58024691,12745.30864,2.901234568,795.2469136,19.75308642,0.12345679,982.7160494,0,932.037037,1194.382716,15.49382716,0.617283951,0,16.2345679
104,cattle,cattle_2,2022,September,9,2,grass,45.27,1.03,269.9071207,21.23839009,4688.79257,6.749226006,478.9473684,11055.2322,3.777089783,2474.489164,48.0495356,1.238390093,1097.4613,1.486068111,2598.823529,242.8482972,25.26315789,5.015479876,0.619195046,18.26625387
105,cattle,cattle_1,2022,September,9,3,grass,45.12,0.66,49.05537459,7.557003257,2171.009772,1.954397394,40.52117264,6709.576547,2.214983713,896.0260586,19.41368078,0.13029316,746.970684,0,1044.625407,1011.205212,8.338762215,0.195439739,0,11.9218241
106,ungrazed,ungrazed_1,2022,September,9,4,woody,43.71,1.6,81.35294118,18.41176471,3287.529412,5.823529412,126.0588235,15080.23529,5,1005.647059,40.76470588,0.352941176,1179.764706,1.411764706,2056,61.11764706,28.58823529,0.529411765,0,7.823529412
107,ungrazed,ungrazed_1,2022,September,9,4,forb,45.13,2.32,162.1875,20.875,3422.5625,5.6875,57,17197.125,4.8125,1677,7.5625,0.8125,1735.1875,1.25,1482.9375,71.875,47.625,0.1875,0,16.6875
108,ungrazed,ungrazed_1,2022,September,9,4,grass,43.61,0.73,117.8507463,17.97014925,2279.044776,1.791044776,29.91044776,8064.238806,5.970149254,546.8059701,18.02985075,0,934.3880597,0,1305.014925,1138.328358,15.40298507,0.119402985,0,14.98507463
